Unnamed: 0,fideid,name,country,sex,title,w_title,o_title,foa_title,rating,games,k,birthday,flag,filename
2628649,54164869,"Bekasov, Ivan",RUS,M,,,,,1917,0,40,2009.0,,blitz_oct25frl_xml.xml
1957089,1124943,"Mazurkiewicz, Michal",POL,M,CM,,,,2101,0,20,1989.0,,blitz_mar25frl_xml.xml
1487687,6500617,"Ramirez, Alejandro",NON,M,GM,,,,2683,0,10,1988.0,i,blitz_jul25frl_xml.xml
2130559,3839575,"Encalada Palomino, Adderly Geiliz",PER,F,,,,,1531,0,20,2006.0,wi,blitz_may25frl_xml.xml
2220303,1982567,"Moreira, Salvador",POR,M,,,,,1463,0,40,2011.0,,blitz_may25frl_xml.xml
959334,4173635,"Nikolaev, Alexey S",RUS,M,,,,,1817,10,20,1953.0,,blitz_feb25frl_xml.xml
1809895,773522,"Xiao Hu, Chen",HUN,M,,,,,1758,0,20,1998.0,i,blitz_jun25frl_xml.xml
1111079,35009192,Erigaisi Arjun,IND,M,GM,,,,2738,13,10,2003.0,,blitz_jan25frl_xml.xml
887191,343409911,"Halley, Nicolas",ENG,M,,,,,1803,0,20,2004.0,,blitz_feb25frl_xml.xml
401159,148061879,"Matlak, Oleksandr",UKR,M,,,,AGM,2112,0,20,1976.0,,blitz_aug25frl_xml.xml
2190787,34134406,"Ladygin, Fedor",RUS,M,,,,,1776,0,20,1986.0,i,blitz_may25frl_xml.xml
424034,34119466,"Novikov, Dmitry",RUS,M,,,,,1737,0,20,2001.0,i,blitz_aug25frl_xml.xml
1087891,23902531,Castellanos Villa. Nathaly de los Angeles,VEN,F,,,,,1436,2,40,2014.0,w,blitz_jan25frl_xml.xml
2024683,14166976,"Shynkarchuk, Maxim",UKR,M,,,,,2011,0,20,1978.0,,blitz_mar25frl_xml.xml
1966065,5156432,"Moo Colli, Guillermo Leonardo",MEX,M,,,,,1590,0,40,2009.0,i,blitz_mar25frl_xml.xml
2797081,942480,"Popovic, Predrag R",SRB,M,,,,,2243,0,20,1977.0,i,blitz_oct25frl_xml.xml
2289294,2923947,"Stoyanov, Daniel",BUL,M,,,,,1886,0,20,2003.0,,blitz_may25frl_xml.xml
2583708,13906569,"Vasiutinschii, Vadim",MDA,M,,,,,1854,0,20,1964.0,i,blitz_nov25frl_xml.xml
3042009,14401584,"Muhibic, Cazim",BIH,M,,,,,1917,0,20,1954.0,i,blitz_sep25frl_xml.xml
344139,12563285,"Hamidi, Amir Mohammad",IRI,M,FM,,,,2242,0,20,1997.0,,blitz_aug25frl_xml.xml
230383,4920910,"TULGAA, Turtuvshin",MGL,M,,,,,1703,0,20,1992.0,,blitz_apr25frl_xml.xml
769062,3285006,"Taheri, Erfan",AUS,M,,,,,1532,7,20,1994.0,,blitz_dec25frl_xml.xml
670617,14700590,"Maksudshoev, Kubot",TJK,M,,,,,2072,0,20,1990.0,,blitz_dec25frl_xml.xml
2496824,34119396,"Nechaiev, Matvii",UKR,M,,,,,1725,0,40,2010.0,,blitz_nov25frl_xml.xml
852212,44760337,"De Almeida, Robson Trigueiro",BRA,M,,,,,1641,0,20,2004.0,i,blitz_feb25frl_xml.xml
2060449,54147905,"Yakovlev, Viktor",RUS,M,,,,,1907,0,20,1977.0,i,blitz_mar25frl_xml.xml
1453920,45017697,Mudliyar Kshitij,IND,M,,,,,1671,0,20,2005.0,i,blitz_jul25frl_xml.xml
1907675,34648801,"Hoffmann, Dominik",GER,M,,,,,2010,0,20,1969.0,,blitz_mar25frl_xml.xml
2833200,25945670,Sivaram Ambikasaran,IND,M,,,,,1563,0,20,1985.0,i,blitz_oct25frl_xml.xml
3018540,34386831,"Lunin, Vadim",RUS,M,,,,,1984,0,20,1983.0,i,blitz_sep25frl_xml.xml
29842,653020669,"Bonnet, Francois",FRA,M,,,,,1576,0,20,1974.0,i,blitz_apr25frl_xml.xml
1631843,1177702,"Galaszewski, Patryk",POL,M,,,,,1896,0,20,1995.0,i,blitz_jun25frl_xml.xml
423405,32718047,"Noparast, Kian",IRI,M,,,,,1630,0,40,2010.0,,blitz_aug25frl_xml.xml
2195889,32003404,"Liern Cendrero, Carlos",ESP,M,,,,,1550,0,20,1977.0,i,blitz_may25frl_xml.xml
1380940,1610350,"Groiss, Karl",AUT,M,,,,,1902,0,20,1935.0,i,blitz_jul25frl_xml.xml
2564517,21091587,"Stolarz, Anna",POL,F,,,,,1466,0,40,2010.0,w,blitz_nov25frl_xml.xml
244519,3202933,"Xie, George Wendi",AUS,M,IM,,,,2267,0,10,1985.0,,blitz_apr25frl_xml.xml
1448637,21064784,"Mlynarczyk, Kajetan",POL,M,,,,,1586,0,20,1989.0,i,blitz_jul25frl_xml.xml
164802,6107931,"Orochena Barbas, Jose Manuel",NCA,M,,,,,1561,0,20,1965.0,i,blitz_apr25frl_xml.xml
35306,3508897,"Cabrera Quintana, Eduardo",CUB,M,,,,,2065,0,20,1971.0,i,blitz_apr25frl_xml.xml
914490,12921971,"Kopylov, Daniel",GER,M,FM,,,,2361,0,10,2003.0,,blitz_feb25frl_xml.xml
1121989,2840413,"Gartenflus, Alexsandr",ISR,M,,,,,1702,0,20,1972.0,,blitz_jan25frl_xml.xml
1772363,14004089,"Shohradova, Lala",TKM,F,WFM,WFM,,,2102,0,20,2006.0,w,blitz_jun25frl_xml.xml
2267113,5127130,"Salazar Gonzalez, Felipe Adolfo",MEX,M,,,FA,,1672,3,20,1990.0,,blitz_may25frl_xml.xml
1463533,21817030,"Nowak, Filip",POL,M,,,,,1856,0,40,2007.0,i,blitz_jul25frl_xml.xml
453160,34390006,"Rinkevich, Bogdan",RUS,M,,,,,1587,0,40,2011.0,i,blitz_aug25frl_xml.xml
3117893,7932960,"Taouilt , Yanis",ALG,M,,,,,1477,0,40,2009.0,,blitz_sep25frl_xml.xml
1120016,54783666,"Gallardo Escrihuela, Iker",ESP,M,,,,,1509,0,40,2011.0,i,blitz_jan25frl_xml.xml
1084173,34433147,"Burnin, Pavel",RUS,M,,,,,1500,0,20,2005.0,i,blitz_jan25frl_xml.xml
873136,28534204,"Galimberti, Luca",ITA,M,,,,,1578,0,20,1998.0,i,blitz_feb25frl_xml.xml
625559,34188134,"Huz, Daryna",UKR,F,,,,,1468,0,40,2013.0,w,blitz_dec25frl_xml.xml
1052255,447033231,"Abdykulov, Muhammad",KAZ,M,,,,,1609,0,40,2008.0,,blitz_jan25frl_xml.xml
172619,2280531,"Perez Lopez, Alfonso",ESP,M,,,,,1835,0,20,1969.0,,blitz_apr25frl_xml.xml
1001390,94774072,"Schreiber, Thomas",ESP,M,,,,,1794,16,20,1992.0,,blitz_feb25frl_xml.xml
1477595,5011191,"Phoobalan, P.",IND,M,FM,,,,2219,0,20,1984.0,i,blitz_jul25frl_xml.xml
805865,1120859,"Adamczyk, Hubert",POL,M,,,,,1620,0,20,1976.0,i,blitz_feb25frl_xml.xml
1046609,13502611,"Zaman, Daniel",BLR,M,,,,,1824,11,20,1998.0,,blitz_feb25frl_xml.xml
2561565,4900146,Soyolmaa Dashdondog,MGL,F,WCM,WCM,,,1825,0,20,1965.0,wi,blitz_nov25frl_xml.xml
1838588,892106,"Barbonese, Roberto",ITA,M,,,,,1678,0,20,1968.0,,blitz_mar25frl_xml.xml
2150027,4683510,"Grau, Helmut",GER,M,,,,,1886,0,20,1951.0,i,blitz_may25frl_xml.xml
2834311,21835470,"Slomka, Przemyslaw",POL,M,,,,,1731,0,20,1985.0,i,blitz_oct25frl_xml.xml
2725269,2915499,"Kolev, Nikolay Bonev",BUL,M,,,,,1790,0,20,1955.0,,blitz_oct25frl_xml.xml
2025617,1900188,"Silva, Fernando",POR,M,IM,,,,2274,0,20,1950.0,i,blitz_mar25frl_xml.xml
2484037,1196391,"Milewska, Agnieszka",ENG,F,,,"NI,AO,IA",AFM,1832,0,20,1985.0,w,blitz_nov25frl_xml.xml
173954,24296368,"Petrov, Maxim",RUS,M,,,,,1522,0,40,2007.0,i,blitz_apr25frl_xml.xml
2398205,2229765,"Ferrer Moreno, Jose",ESP,M,CM,,,,2020,7,20,1977.0,,blitz_nov25frl_xml.xml
925110,24199338,"Legoshin, Daniil",RUS,M,,,,,1894,0,20,1999.0,i,blitz_feb25frl_xml.xml
2572561,293881,"Thomas, Serge",BEL,M,,,,,1572,0,20,1956.0,i,blitz_nov25frl_xml.xml
193156,24523283,"Ruiz Sanchez, Francisco 1969",ESP,M,,,,,1637,0,20,1969.0,i,blitz_apr25frl_xml.xml
1761820,24538485,"San Miguel Torre, Saul",ESP,M,,,,,1672,0,20,2006.0,i,blitz_jun25frl_xml.xml
